,Bsubtilis,Dvulgaris,Llactis,Pfluorescens,Pputida,Senterica,Srubiginosus,Tthermophilus
Bsubtilis,1.0,0.1282298615840889,1.0,0.0834602931817685,7.68912476911545e-08,1.0,5.162949140897605e-05,5.791371131603556e-06
Dvulgaris,0.1282298615840889,1.0,1.0,2.2715303666656482e-05,0.00027921804255662876,1.0,0.12025448214891425,1.1448655318487559e-06
Llactis,1.0,1.0,1.0,1.0,0.10259629660780586,1.0,0.7545422015941519,0.004197751745270092
Pfluorescens,0.0834602931817685,2.2715303666656482e-05,1.0,1.0,1.5048158029604623e-09,0.0001962148249017517,2.2333512931818788e-08,0.0002990331843369957
Pputida,7.68912476911545e-08,0.00027921804255662876,0.10259629660780586,1.5048158029604623e-09,1.0,2.9395529083866905e-12,0.5536068140252962,1.0826410303241672e-07
Senterica,1.0,1.0,1.0,0.0001962148249017517,2.9395529083866905e-12,1.0,4.991240249247582e-10,4.4622860107146115e-07
Srubiginosus,5.162949140897605e-05,0.12025448214891425,0.7545422015941519,2.2333512931818788e-08,0.5536068140252962,4.991240249247582e-10,1.0,1.1965852210306963e-07
Tthermophilus,5.791371131603556e-06,1.1448655318487559e-06,0.004197751745270092,0.0002990331843369957,1.0826410303241672e-07,4.4622860107146115e-07,1.1965852210306963e-07,1.0
