pdb_id,expression_host_sci_name,expression_host_tax_id,expression_host_synonyms,expression_host_genus,expression_host_superkingdom,entity_id
4wbd,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4tv7,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4ug8,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4u3v,Escherichia coli BL21,511693,"Ecobb,Escherichia Coli Strain Bl21,Escherichia Coli Str. Bl21,Escherichia Coli (Strain B / Bl21),Escherichia Coli Bl21,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5iwx,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4ugo,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4ug9,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4ugt,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5j8q,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2nn4,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
2nsy,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5jki,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5k9y,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5xt5,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5xt5,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,2
4qbf,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5y0p,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
3u4c,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5i41,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4tyq,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4ugw,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5y24,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5y24,,,,,,2
5fb4,Escherichia coli BL21,511693,"Ecobb,Escherichia Coli Strain Bl21,Escherichia Coli Str. Bl21,Escherichia Coli (Strain B / Bl21),Escherichia Coli Bl21,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4ugq,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4u0w,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4ug7,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5fll,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4ugf,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5itv,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4ugl,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4uqr,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5ipp,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5iwy,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5j21,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5hs2,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4u0y,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4ug5,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4ugs,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5itw,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4ug6,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4ugj,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4qm9,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5y0q,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4ugp,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4ugy,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4uge,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4ugk,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5hs7,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4ugi,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4q8b,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5hs8,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4ugm,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
4ugv,Escherichia coli BL21(DE3),469008,"Ecobd,Escherichia Coli Strain Bl21(De3),Escherichia Coli (Strain B / Bl21-De3),Escherichia Coli Bl21(De3),Escherichia Coli Str. Bl21(De3),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
5flg,Escherichia coli,562,"Bacterium Coli,Enterococcus Coli,Bacterium 10a,Escherichia Coli,Escherichia Sp. 3_2_53faa,Escherichia/Shigella Coli,Ecolx,Bacterium E3,Bacterium Coli Commune,E. Coli,Bacillus Coli,Escherichia Sp. Mar,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria",,,1
